keyword,total_occurrences,primary_occurrences,variant_count,variants_with_scores,sources,notes
material,3429,3344,4,"materials(0.77), rawmaterial(0.67), materialized(0.62), materialcost(0.61)","curated, clustered",
actual,3370,3251,2,"actuals(0.75), actually(0.68)","curated, clustered",
allowed,3327,3309,4,"allowed2(0.76), allwed(0.65), disallowed(0.64), notallowed(0.64)","curated, clustered",
post,3066,2969,2,"posts(0.73), postal(0.61)","curated, clustered",
vat,2986,2982,1,vat2(0.67),"curated, clustered",
model,2980,2944,7,"modelo(0.75), models(0.73), modelid(0.66), model31(0.64), model32(0.64), model30(0.64), modl(0.63)","curated, clustered",
finish,2872,2483,3,"unfinish(0.68), finished(0.67), notfinish(0.61)","curated, clustered",
document,2754,2679,6,"documento(0.78), documents(0.77), document2(0.77), domdocument(0.72), documnt(0.66), documentation(0.58)","curated, clustered",
bom,2716,2552,2,"sbom(0.67), mso(0.61)","curated, clustered",
tot,2662,2656,3,"tot1(0.66), tot2(0.66), tot3(0.66)","curated, clustered",
dimension,2467,2429,1,dimensions(0.79),"curated, clustered",
percentage,2450,2424,3,"percentages(0.78), acqpercentage(0.70), actrevpercentage(0.60)","curated, clustered",
release,2398,2365,6,"releases(0.77), prelease(0.76), release2(0.76), rerelease(0.76), unrelease(0.68), relase(0.67)","curated, clustered",
act,2345,2291,6,"cact(0.69), actv(0.67), acts(0.67), eact(0.67), acti(0.67), pact(0.67)","curated, clustered",
loc,2296,1758,6,"lock(0.67), locs(0.67), loc2(0.67), loca(0.67), wloc(0.67), cwo(0.61)","curated, clustered",
pur,2270,2254,5,"purp(0.69), pure(0.67), pur1(0.67), pur2(0.67), pur3(0.67)","curated, clustered",
del,2253,2237,3,"delg(0.67), dely(0.67), delv(0.67)","curated, clustered",
eng,2245,2243,1,ceng(0.67),"curated, clustered",
ownership,2204,2171,5,"ownerships(0.79), ownership2(0.78), ownership1(0.78), owners(0.73), ownship(0.62)","curated, clustered",
mrp,2165,1981,5,"pmrp(0.69), msmrp(0.61), pms(0.61), pmr(0.61), spm(0.61)","curated, clustered",
proposal,2153,2032,2,"proposals(0.78), proposals2(0.71)","curated, clustered",
planning,2135,2128,1,planing(0.70),"curated, clustered",
shift,2119,2048,6,"shifts(0.75), shift1(0.73), shift2(0.73), shift3(0.73), shifted(0.64), noshift(0.64)","curated, clustered",
sup,2102,2077,2,"supl(0.67), tsup(0.67)","curated, clustered",
leadtime,2029,1994,4,"leadtimes(0.77), leadtime1(0.77), leadtime2(0.77), leadtimerec(0.66)","curated, clustered",
absence,2004,1989,1,absences(0.77),"curated, clustered",
revenue,1900,1886,2,"revenue1(0.76), revenues(0.76)","curated, clustered",
stock,1881,1878,2,"restock(0.64), stockout(0.59)","curated, clustered",
product,1872,1793,3,"products(0.76), byproduct(0.69), productive(0.63)","curated, clustered",
tag,1858,1760,6,"etag(0.67), tags(0.67), tag1(0.67), tag2(0.67), tag3(0.67), tagat(0.59)","curated, clustered",
cert,1846,1840,3,"pcert(0.71), certi(0.71), crt(0.60)","curated, clustered",
vou,1776,1769,2,"xvou(0.67), vouh(0.67)","curated, clustered",
expense,1756,1705,2,"expenses(0.77), expensed(0.76)","curated, clustered",
conn,1746,1717,4,"conns(0.70), unconn(0.61), connct(0.61), inconn(0.61)","curated, clustered",
buy,1742,1265,1,fbuy(0.67),"curated, clustered",
uom,1735,1725,1,uoms(0.67),"curated, clustered",
parts,1731,1645,8,"partse(0.73), partstr(0.67), noparts(0.64), prts(0.63), pars(0.63), partstat(0.61), partswap(0.59), partseca(0.58)","curated, clustered",
email,1458,1452,2,"emails(0.73), emailed(0.66)","curated, clustered",
allocation,1440,1327,7,"allocations(0.78), allocation2(0.78), reallocation(0.73), deallocation(0.73), alocation(0.70), alloction(0.68), acation(0.59)","curated, clustered",
srv,1428,1407,2,"rsrv(0.69), srvr(0.69)","curated, clustered",
mat,1427,1008,5,"matr(0.67), vmat(0.67), matl(0.67), mate(0.67), mra(0.61)","curated, clustered",
invoiced,1408,1388,4,"invoiced3(0.77), invoiced1(0.77), uninvoiced(0.71), invoiced12(0.70)","curated, clustered",
fam,1333,66,2,"family, subfamily(0.61)","curated, clustered",
rest,1306,1236,2,"rst(0.60), restart(0.58)","curated, clustered",
fee,1297,1241,5,"fee2(0.66), fee1(0.66), feed(0.66), fees(0.66), ufee(0.66)","curated, clustered",
bank,1245,1245,0,,curated,
zone,1208,1136,2,"ozone(0.73), zones(0.71)","curated, clustered",
phase,1188,1118,3,"phases(0.75), phased(0.73), exphase(0.66)","curated, clustered",
book,1143,940,5,"books(0.70), bok(0.68), booked(0.60), rebook(0.60), unbook(0.60)","curated, clustered",
url,1142,1138,1,urls(0.67),"curated, clustered",
received,1121,1098,3,"unreceived(0.70), recived(0.68), receivedtime(0.61)","curated, clustered",
prod,1092,925,3,"prod2(0.71), byprod(0.61), prd(0.60)","curated, clustered",
salary,1054,1054,0,,curated,
scheduling,1020,1009,2,"rescheduling(0.74), scheuling(0.67)","curated, clustered",
crew,995,984,2,"crews(0.71), crw(0.60)","curated, clustered",
postings,992,969,1,prepostings(0.68),"curated, clustered",
emission,962,885,4,"emissions(0.78), emiss(0.70), emis(0.61), emmission(0.58)","curated, clustered",
withheld,917,900,2,"witheld(0.70), withhld(0.66)","curated, clustered",
payee,838,838,0,,curated,
authorizer,838,783,1,authorizers(0.79),"curated, clustered",
acq,808,807,1,acqd(0.67),"curated, clustered",
